E	Correction
3.03	4.5488141615873260e-03
3.04	4.4056418104007128e-03
3.05	4.2660809233562285e-03
3.06	4.1301315004538784e-03
3.07	3.9977935416936694e-03
3.08	3.8690670470755946e-03
3.09	3.7439520165996483e-03
3.10	3.6224484502658375e-03
3.11	3.5045563480741661e-03
3.12	3.3902757100246288e-03
3.13	3.2796065361172218e-03
3.14	3.1725488263519498e-03
3.15	3.0691025807288168e-03
3.16	2.9692677992478184e-03
3.17	2.8730444819089498e-03
3.18	2.7804326287122162e-03
3.19	2.6914322396576216e-03
3.20	2.6060433147451607e-03
3.21	2.5242658539748313e-03
3.22	2.4460998573466366e-03
3.23	2.3715453248605795e-03
3.24	2.3006022565166570e-03
3.25	2.2332706523148665e-03
3.26	2.1683925820256676e-03
3.27	2.1048101154195224e-03
3.28	2.0425232524964271e-03
3.29	1.9815319932563790e-03
3.30	1.9218363376993816e-03
3.31	1.8634362858254365e-03
3.32	1.8063318376345416e-03
3.33	1.7505229931266946e-03
3.34	1.6960097523018979e-03
3.35	1.6427921151601535e-03
3.36	1.5908700817014595e-03
3.37	1.5402436519258134e-03
3.38	1.4909128258332174e-03
3.39	1.4428776034236736e-03
3.40	1.3961379846971803e-03
3.41	1.3506939696537347e-03
3.42	1.3065455582933398e-03
3.43	1.2636927506159969e-03
3.44	1.2221355466217041e-03
3.45	1.1818739463104598e-03
3.46	1.1429079496822654e-03
3.47	1.1052375567371232e-03
3.48	1.0688627674750311e-03
3.49	1.0337835818959875e-03
3.50	9.9999999999999417e-04
3.51	9.6751202178705265e-04
3.52	9.3631964725716097e-04
3.53	9.0642287641031838e-04
3.54	8.7782170924652597e-04
3.55	8.5051614576578491e-04
3.56	8.2450618596809403e-04
3.57	7.9979182985345223e-04
3.58	7.7637307742186071e-04
3.59	7.5424992867332034e-04
3.60	7.3342238360783014e-04
3.61	7.1389044222538924e-04
3.62	6.9565410452599851e-04
3.63	6.7871337050965882e-04
3.64	6.6306824017636930e-04
3.65	6.4871871352612919e-04
3.66	6.3566479055893936e-04
3.67	6.2390647127480046e-04
3.68	6.1344375567371141e-04
3.69	6.0427664375567230e-04
3.70	5.9640513552068337e-04
3.71	5.8982923096874494e-04
3.72	5.8454893009985667e-04
3.73	5.8056423291401836e-04
3.74	5.7787513941123033e-04
3.75	5.7648164959149257e-04
3.76	5.7564341849306174e-04
3.77	5.7462010115419512e-04
3.78	5.7341169757489283e-04
3.79	5.7201820775515475e-04
3.80	5.7043963169498089e-04
3.81	5.6867596939437146e-04
3.82	5.6672722085332602e-04
3.83	5.6459338607184502e-04
3.84	5.6227446504992823e-04
3.85	5.5977045778757588e-04
3.86	5.5708136428478730e-04
3.87	5.5420718454156337e-04
3.88	5.5114791855790377e-04
3.89	5.4790356633380838e-04
3.90	5.4447412786927689e-04
3.91	5.4085960316431004e-04
3.92	5.3705999221890729e-04
3.93	5.3307529503306909e-04
3.94	5.2890551160679456e-04
3.95	5.2455064194008479e-04
3.96	5.2001068603293912e-04
3.97	5.1528564388535788e-04
3.98	5.1037551549734043e-04
3.99	5.0528030086888752e-04
4.00	4.9999999999999914e-04
4.01	4.9453461289067477e-04
4.02	4.8888413954091428e-04
4.03	4.8304857995071855e-04
4.04	4.7702793412008704e-04
4.05	4.7082220204901996e-04
4.06	4.6443138373751633e-04
4.07	4.5785547918557768e-04
4.08	4.5109448839320324e-04
4.09	4.4414841136039302e-04
4.10	4.3701724808714658e-04
4.11	4.2970099857346495e-04
4.12	4.2219966281934764e-04
4.13	4.1451324082479444e-04
4.14	4.0664173258980491e-04
4.15	3.9858513811438030e-04
4.16	3.9034345739851997e-04
4.17	3.8191669044222400e-04
4.18	3.7330483724549139e-04
4.19	3.6450789780832386e-04
4.20	3.5552587213072049e-04
4.21	3.4635876021268155e-04
4.22	3.3700656205420596e-04
4.23	3.2746927765529550e-04
4.24	3.1774690701594932e-04
4.25	3.0783945013616729e-04
4.26	2.9774690701594878e-04
4.27	2.8746927765529529e-04
4.28	2.7700656205420613e-04
4.29	2.6635876021268123e-04
4.30	2.5552587213071963e-04
4.31	2.4450789780832327e-04
4.32	2.3330483724549108e-04
4.33	2.2191669044222326e-04
4.34	2.1034345739851865e-04
4.35	1.9858513811437929e-04
4.36	1.8664173258980425e-04
4.37	1.7451324082479346e-04
4.38	1.6219966281934585e-04
4.39	1.4970099857346351e-04
4.40	1.3701724808714549e-04
4.41	1.2414841136039175e-04
4.42	1.1109448839320110e-04
4.43	9.7855479185575880e-05
4.44	8.4431383737514900e-05
4.45	7.0822202049018203e-05
4.46	5.7027934120084528e-05
4.47	4.3048579950716342e-05
4.48	2.8884139540912435e-05
4.49	1.4534612890672784e-05
