start_utc	end_utc	startdate	enddate	day	ndays	livetime	eff	efflivetime
949968000	950054400	2000-02-08	2000-02-09	38	1	86400.0	0.1	8640.0
950054400	950140800	2000-02-09	2000-02-10	39	1	86400.0	0.1	8640.0
950140800	950227200	2000-02-10	2000-02-11	40	1	86400.0	0.1	8640.0
950227200	950313600	2000-02-11	2000-02-12	41	1	86400.0	0.1	8640.0
950313600	950400000	2000-02-12	2000-02-13	42	1	86400.0	0.1	8640.0
950400000	950486400	2000-02-13	2000-02-14	43	1	86400.0	0.1	8640.0
950486400	950572800	2000-02-14	2000-02-15	44	1	86400.0	0.1	8640.0
950572800	950659200	2000-02-15	2000-02-16	45	1	86400.0	0.1	8640.0
950659200	950745600	2000-02-16	2000-02-17	46	1	86400.0	0.1	8640.0
950745600	950832000	2000-02-17	2000-02-18	47	1	86400.0	0.1	8640.0
950832000	950918400	2000-02-18	2000-02-19	48	1	86400.0	0.1	8640.0
950918400	951004800	2000-02-19	2000-02-20	49	1	86400.0	0.1	8640.0
951004800	951091200	2000-02-20	2000-02-21	50	1	86400.0	0.1	8640.0
951091200	951177600	2000-02-21	2000-02-22	51	1	86400.0	0.1	8640.0
951177600	951264000	2000-02-22	2000-02-23	52	1	86400.0	0.1	8640.0
951264000	951350400	2000-02-23	2000-02-24	53	1	86400.0	0.1	8640.0
951350400	951436800	2000-02-24	2000-02-25	54	1	86400.0	0.1	8640.0
951436800	951523200	2000-02-25	2000-02-26	55	1	86400.0	0.1	8640.0
951523200	951609600	2000-02-26	2000-02-27	56	1	86400.0	0.1	8640.0
951609600	951696000	2000-02-27	2000-02-28	57	1	86400.0	0.1	8640.0
951696000	951782400	2000-02-28	2000-02-29	58	1	86400.0	0.1	8640.0
951782400	951868800	2000-02-29	2000-03-01	59	1	86400.0	0.1	8640.0
951868800	951955200	2000-03-01	2000-03-02	60	1	86400.0	0.1	8640.0
951955200	952041600	2000-03-02	2000-03-03	61	1	86400.0	0.1	8640.0
952041600	952128000	2000-03-03	2000-03-04	62	1	86400.0	0.1	8640.0
952128000	952214400	2000-03-04	2000-03-05	63	1	86400.0	0.1	8640.0
952214400	952300800	2000-03-05	2000-03-06	64	1	86400.0	0.1	8640.0
952300800	952387200	2000-03-06	2000-03-07	65	1	86400.0	0.1	8640.0
952387200	952473600	2000-03-07	2000-03-08	66	1	86400.0	0.1	8640.0
952473600	952560000	2000-03-08	2000-03-09	67	1	86400.0	0.1	8640.0
952560000	952646400	2000-03-09	2000-03-10	68	1	86400.0	0.1	8640.0
952646400	952732800	2000-03-10	2000-03-11	69	1	86400.0	0.1	8640.0
952732800	952819200	2000-03-11	2000-03-12	70	1	86400.0	0.1	8640.0
952819200	952905600	2000-03-12	2000-03-13	71	1	86400.0	0.1	8640.0
952905600	952992000	2000-03-13	2000-03-14	72	1	86400.0	0.1	8640.0
952992000	953078400	2000-03-14	2000-03-15	73	1	86400.0	0.1	8640.0
953078400	953164800	2000-03-15	2000-03-16	74	1	86400.0	0.1	8640.0
953164800	953251200	2000-03-16	2000-03-17	75	1	86400.0	0.1	8640.0
953251200	953337600	2000-03-17	2000-03-18	76	1	86400.0	0.1	8640.0
953337600	953424000	2000-03-18	2000-03-19	77	1	86400.0	0.1	8640.0
953424000	953510400	2000-03-19	2000-03-20	78	1	86400.0	0.1	8640.0
953510400	953596800	2000-03-20	2000-03-21	79	1	86400.0	0.1	8640.0
953596800	953683200	2000-03-21	2000-03-22	80	1	86400.0	0.1	8640.0
953683200	953769600	2000-03-22	2000-03-23	81	1	86400.0	0.1	8640.0
953769600	953856000	2000-03-23	2000-03-24	82	1	86400.0	0.1	8640.0
953856000	953942400	2000-03-24	2000-03-25	83	1	86400.0	0.1	8640.0
953942400	954028800	2000-03-25	2000-03-26	84	1	86400.0	0.1	8640.0
954028800	954115200	2000-03-26	2000-03-27	85	1	86400.0	0.1	8640.0
954115200	954201600	2000-03-27	2000-03-28	86	1	86400.0	0.1	8640.0
954201600	954288000	2000-03-28	2000-03-29	87	1	86400.0	0.1	8640.0
954288000	954374400	2000-03-29	2000-03-30	88	1	86400.0	0.1	8640.0
954374400	954460800	2000-03-30	2000-03-31	89	1	86400.0	0.1	8640.0
954460800	954547200	2000-03-31	2000-04-01	90	1	86400.0	0.1	8640.0
954547200	954633600	2000-04-01	2000-04-02	91	1	86400.0	0.1	8640.0
954633600	954720000	2000-04-02	2000-04-03	92	1	86400.0	0.1	8640.0
954720000	954806400	2000-04-03	2000-04-04	93	1	86400.0	0.1	8640.0
954806400	954892800	2000-04-04	2000-04-05	94	1	86400.0	0.1	8640.0
954892800	954979200	2000-04-05	2000-04-06	95	1	86400.0	0.1	8640.0
954979200	955065600	2000-04-06	2000-04-07	96	1	86400.0	0.1	8640.0
955065600	955152000	2000-04-07	2000-04-08	97	1	86400.0	0.1	8640.0
955152000	955238400	2000-04-08	2000-04-09	98	1	86400.0	0.1	8640.0
955238400	955324800	2000-04-09	2000-04-10	99	1	86400.0	0.1	8640.0
955324800	955411200	2000-04-10	2000-04-11	100	1	86400.0	0.1	8640.0
955411200	955497600	2000-04-11	2000-04-12	101	1	86400.0	0.1	8640.0
955497600	955584000	2000-04-12	2000-04-13	102	1	86400.0	0.1	8640.0
955584000	955670400	2000-04-13	2000-04-14	103	1	86400.0	0.1	8640.0
955670400	955756800	2000-04-14	2000-04-15	104	1	86400.0	0.1	8640.0
955756800	955843200	2000-04-15	2000-04-16	105	1	86400.0	0.1	8640.0
955843200	955929600	2000-04-16	2000-04-17	106	1	86400.0	0.1	8640.0
955929600	956016000	2000-04-17	2000-04-18	107	1	86400.0	0.1	8640.0
956016000	956102400	2000-04-18	2000-04-19	108	1	86400.0	0.1	8640.0
956102400	956188800	2000-04-19	2000-04-20	109	1	86400.0	0.1	8640.0
956188800	956275200	2000-04-20	2000-04-21	110	1	86400.0	0.1	8640.0
956275200	956361600	2000-04-21	2000-04-22	111	1	86400.0	0.1	8640.0
956361600	956448000	2000-04-22	2000-04-23	112	1	86400.0	0.1	8640.0
956448000	956534400	2000-04-23	2000-04-24	113	1	86400.0	0.1	8640.0
956534400	956620800	2000-04-24	2000-04-25	114	1	86400.0	0.1	8640.0
956620800	956707200	2000-04-25	2000-04-26	115	1	86400.0	0.1	8640.0
956707200	956793600	2000-04-26	2000-04-27	116	1	86400.0	0.1	8640.0
956793600	956880000	2000-04-27	2000-04-28	117	1	86400.0	0.1	8640.0
956880000	956966400	2000-04-28	2000-04-29	118	1	86400.0	0.1	8640.0
956966400	957052800	2000-04-29	2000-04-30	119	1	86400.0	0.1	8640.0
957052800	957139200	2000-04-30	2000-05-01	120	1	86400.0	0.1	8640.0
957139200	957225600	2000-05-01	2000-05-02	121	1	86400.0	0.1	8640.0
957225600	957312000	2000-05-02	2000-05-03	122	1	86400.0	0.1	8640.0
957312000	957398400	2000-05-03	2000-05-04	123	1	86400.0	0.1	8640.0
957398400	957484800	2000-05-04	2000-05-05	124	1	86400.0	0.1	8640.0
957484800	957571200	2000-05-05	2000-05-06	125	1	86400.0	0.1	8640.0
957571200	957657600	2000-05-06	2000-05-07	126	1	86400.0	0.1	8640.0
957657600	957744000	2000-05-07	2000-05-08	127	1	86400.0	0.1	8640.0
957744000	957830400	2000-05-08	2000-05-09	128	1	86400.0	0.1	8640.0
957830400	957916800	2000-05-09	2000-05-10	129	1	86400.0	0.1	8640.0
957916800	958003200	2000-05-10	2000-05-11	130	1	86400.0	0.1	8640.0
958003200	958089600	2000-05-11	2000-05-12	131	1	86400.0	0.1	8640.0
958089600	958176000	2000-05-12	2000-05-13	132	1	86400.0	0.1	8640.0
958176000	958262400	2000-05-13	2000-05-14	133	1	86400.0	0.1	8640.0
958262400	958348800	2000-05-14	2000-05-15	134	1	86400.0	0.1	8640.0
958348800	958435200	2000-05-15	2000-05-16	135	1	86400.0	0.1	8640.0
958435200	958521600	2000-05-16	2000-05-17	136	1	86400.0	0.1	8640.0
958521600	958608000	2000-05-17	2000-05-18	137	1	86400.0	0.1	8640.0
958608000	958694400	2000-05-18	2000-05-19	138	1	86400.0	0.1	8640.0
958694400	958780800	2000-05-19	2000-05-20	139	1	86400.0	0.1	8640.0
958780800	958867200	2000-05-20	2000-05-21	140	1	86400.0	0.1	8640.0
958867200	958953600	2000-05-21	2000-05-22	141	1	86400.0	0.1	8640.0
958953600	959040000	2000-05-22	2000-05-23	142	1	86400.0	0.1	8640.0
959040000	959126400	2000-05-23	2000-05-24	143	1	86400.0	0.1	8640.0
959126400	959212800	2000-05-24	2000-05-25	144	1	86400.0	0.1	8640.0
959212800	959299200	2000-05-25	2000-05-26	145	1	86400.0	0.1	8640.0
959299200	959385600	2000-05-26	2000-05-27	146	1	86400.0	0.1	8640.0
959385600	959472000	2000-05-27	2000-05-28	147	1	86400.0	0.1	8640.0
959472000	959558400	2000-05-28	2000-05-29	148	1	86400.0	0.1	8640.0
959558400	959644800	2000-05-29	2000-05-30	149	1	86400.0	0.1	8640.0
959644800	959731200	2000-05-30	2000-05-31	150	1	86400.0	0.1	8640.0
959731200	959817600	2000-05-31	2000-06-01	151	1	86400.0	0.1	8640.0
959817600	959904000	2000-06-01	2000-06-02	152	1	86400.0	0.1	8640.0
959904000	959990400	2000-06-02	2000-06-03	153	1	86400.0	0.1	8640.0
959990400	960076800	2000-06-03	2000-06-04	154	1	86400.0	0.1	8640.0
960076800	960163200	2000-06-04	2000-06-05	155	1	86400.0	0.1	8640.0
960163200	960249600	2000-06-05	2000-06-06	156	1	86400.0	0.1	8640.0
960249600	960336000	2000-06-06	2000-06-07	157	1	86400.0	0.1	8640.0
960336000	960422400	2000-06-07	2000-06-08	158	1	86400.0	0.1	8640.0
960422400	960508800	2000-06-08	2000-06-09	159	1	86400.0	0.1	8640.0
960508800	960595200	2000-06-09	2000-06-10	160	1	86400.0	0.1	8640.0
960595200	960681600	2000-06-10	2000-06-11	161	1	86400.0	0.1	8640.0
960681600	960768000	2000-06-11	2000-06-12	162	1	86400.0	0.1	8640.0
960768000	960854400	2000-06-12	2000-06-13	163	1	86400.0	0.1	8640.0
960854400	960940800	2000-06-13	2000-06-14	164	1	86400.0	0.1	8640.0
960940800	961027200	2000-06-14	2000-06-15	165	1	86400.0	0.1	8640.0
961027200	961113600	2000-06-15	2000-06-16	166	1	86400.0	0.1	8640.0
961113600	961200000	2000-06-16	2000-06-17	167	1	86400.0	0.1	8640.0
961200000	961286400	2000-06-17	2000-06-18	168	1	86400.0	0.1	8640.0
961286400	961372800	2000-06-18	2000-06-19	169	1	86400.0	0.1	8640.0
961372800	961459200	2000-06-19	2000-06-20	170	1	86400.0	0.1	8640.0
961459200	961545600	2000-06-20	2000-06-21	171	1	86400.0	0.1	8640.0
961545600	961632000	2000-06-21	2000-06-22	172	1	86400.0	0.1	8640.0
961632000	961718400	2000-06-22	2000-06-23	173	1	86400.0	0.1	8640.0
961718400	961804800	2000-06-23	2000-06-24	174	1	86400.0	0.1	8640.0
961804800	961891200	2000-06-24	2000-06-25	175	1	86400.0	0.1	8640.0
961891200	961977600	2000-06-25	2000-06-26	176	1	86400.0	0.1	8640.0
961977600	962064000	2000-06-26	2000-06-27	177	1	86400.0	0.1	8640.0
962064000	962150400	2000-06-27	2000-06-28	178	1	86400.0	0.1	8640.0
962150400	962236800	2000-06-28	2000-06-29	179	1	86400.0	0.1	8640.0
962236800	962323200	2000-06-29	2000-06-30	180	1	86400.0	0.1	8640.0
962323200	962409600	2000-06-30	2000-07-01	181	1	86400.0	0.1	8640.0
962409600	962496000	2000-07-01	2000-07-02	182	1	86400.0	0.1	8640.0
962496000	962582400	2000-07-02	2000-07-03	183	1	86400.0	0.1	8640.0
962582400	962668800	2000-07-03	2000-07-04	184	1	86400.0	0.1	8640.0
962668800	962755200	2000-07-04	2000-07-05	185	1	86400.0	0.1	8640.0
962755200	962841600	2000-07-05	2000-07-06	186	1	86400.0	0.1	8640.0
962841600	962928000	2000-07-06	2000-07-07	187	1	86400.0	0.1	8640.0
962928000	963014400	2000-07-07	2000-07-08	188	1	86400.0	0.1	8640.0
963014400	963100800	2000-07-08	2000-07-09	189	1	86400.0	0.1	8640.0
963100800	963187200	2000-07-09	2000-07-10	190	1	86400.0	0.1	8640.0
963187200	963273600	2000-07-10	2000-07-11	191	1	86400.0	0.1	8640.0
963273600	963360000	2000-07-11	2000-07-12	192	1	86400.0	0.1	8640.0
963360000	963446400	2000-07-12	2000-07-13	193	1	86400.0	0.1	8640.0
963446400	963532800	2000-07-13	2000-07-14	194	1	86400.0	0.1	8640.0
963532800	963619200	2000-07-14	2000-07-15	195	1	86400.0	0.1	8640.0
963619200	963705600	2000-07-15	2000-07-16	196	1	86400.0	0.1	8640.0
963705600	963792000	2000-07-16	2000-07-17	197	1	86400.0	0.1	8640.0
963792000	963878400	2000-07-17	2000-07-18	198	1	86400.0	0.1	8640.0
963878400	963964800	2000-07-18	2000-07-19	199	1	86400.0	0.1	8640.0
963964800	964051200	2000-07-19	2000-07-20	200	1	86400.0	0.1	8640.0
964051200	964137600	2000-07-20	2000-07-21	201	1	86400.0	0.1	8640.0
964137600	964224000	2000-07-21	2000-07-22	202	1	86400.0	0.1	8640.0
964224000	964310400	2000-07-22	2000-07-23	203	1	86400.0	0.1	8640.0
964310400	964396800	2000-07-23	2000-07-24	204	1	86400.0	0.1	8640.0
964396800	964483200	2000-07-24	2000-07-25	205	1	86400.0	0.1	8640.0
964483200	964569600	2000-07-25	2000-07-26	206	1	86400.0	0.1	8640.0
964569600	964656000	2000-07-26	2000-07-27	207	1	86400.0	0.1	8640.0
964656000	964742400	2000-07-27	2000-07-28	208	1	86400.0	0.1	8640.0
964742400	964828800	2000-07-28	2000-07-29	209	1	86400.0	0.1	8640.0
964828800	964915200	2000-07-29	2000-07-30	210	1	86400.0	0.1	8640.0
964915200	965001600	2000-07-30	2000-07-31	211	1	86400.0	0.1	8640.0
965001600	965088000	2000-07-31	2000-08-01	212	1	86400.0	0.1	8640.0
965088000	965174400	2000-08-01	2000-08-02	213	1	86400.0	0.1	8640.0
965174400	965260800	2000-08-02	2000-08-03	214	1	86400.0	0.1	8640.0
965260800	965347200	2000-08-03	2000-08-04	215	1	86400.0	0.1	8640.0
965347200	965433600	2000-08-04	2000-08-05	216	1	86400.0	0.1	8640.0
965433600	965520000	2000-08-05	2000-08-06	217	1	86400.0	0.1	8640.0
965520000	965606400	2000-08-06	2000-08-07	218	1	86400.0	0.1	8640.0
965606400	965692800	2000-08-07	2000-08-08	219	1	86400.0	0.1	8640.0
965692800	965779200	2000-08-08	2000-08-09	220	1	86400.0	0.1	8640.0
965779200	965865600	2000-08-09	2000-08-10	221	1	86400.0	0.1	8640.0
965865600	965952000	2000-08-10	2000-08-11	222	1	86400.0	0.1	8640.0
965952000	966038400	2000-08-11	2000-08-12	223	1	86400.0	0.1	8640.0
966038400	966124800	2000-08-12	2000-08-13	224	1	86400.0	0.1	8640.0
966124800	966211200	2000-08-13	2000-08-14	225	1	86400.0	0.1	8640.0
966211200	966297600	2000-08-14	2000-08-15	226	1	86400.0	0.1	8640.0
966297600	966384000	2000-08-15	2000-08-16	227	1	86400.0	0.1	8640.0
966384000	966470400	2000-08-16	2000-08-17	228	1	86400.0	0.1	8640.0
966470400	966556800	2000-08-17	2000-08-18	229	1	86400.0	0.1	8640.0
966556800	966643200	2000-08-18	2000-08-19	230	1	86400.0	0.1	8640.0
966643200	966729600	2000-08-19	2000-08-20	231	1	86400.0	0.1	8640.0
966729600	966816000	2000-08-20	2000-08-21	232	1	86400.0	0.1	8640.0
966816000	966902400	2000-08-21	2000-08-22	233	1	86400.0	0.1	8640.0
966902400	966988800	2000-08-22	2000-08-23	234	1	86400.0	0.1	8640.0
966988800	967075200	2000-08-23	2000-08-24	235	1	86400.0	0.1	8640.0
967075200	967161600	2000-08-24	2000-08-25	236	1	86400.0	0.1	8640.0
967161600	967248000	2000-08-25	2000-08-26	237	1	86400.0	0.1	8640.0
967248000	967334400	2000-08-26	2000-08-27	238	1	86400.0	0.1	8640.0
967334400	967420800	2000-08-27	2000-08-28	239	1	86400.0	0.1	8640.0
967420800	967507200	2000-08-28	2000-08-29	240	1	86400.0	0.1	8640.0
967507200	967593600	2000-08-29	2000-08-30	241	1	86400.0	0.1	8640.0
967593600	967680000	2000-08-30	2000-08-31	242	1	86400.0	0.1	8640.0
967680000	967766400	2000-08-31	2000-09-01	243	1	86400.0	0.1	8640.0
967766400	967852800	2000-09-01	2000-09-02	244	1	86400.0	0.1	8640.0
967852800	967939200	2000-09-02	2000-09-03	245	1	86400.0	0.1	8640.0
967939200	968025600	2000-09-03	2000-09-04	246	1	86400.0	0.1	8640.0
968025600	968112000	2000-09-04	2000-09-05	247	1	86400.0	0.1	8640.0
968112000	968198400	2000-09-05	2000-09-06	248	1	86400.0	0.1	8640.0
968198400	968284800	2000-09-06	2000-09-07	249	1	86400.0	0.1	8640.0
968284800	968371200	2000-09-07	2000-09-08	250	1	86400.0	0.1	8640.0
968371200	968457600	2000-09-08	2000-09-09	251	1	86400.0	0.1	8640.0
968457600	968544000	2000-09-09	2000-09-10	252	1	86400.0	0.1	8640.0
968544000	968630400	2000-09-10	2000-09-11	253	1	86400.0	0.1	8640.0
968630400	968716800	2000-09-11	2000-09-12	254	1	86400.0	0.1	8640.0
968716800	968803200	2000-09-12	2000-09-13	255	1	86400.0	0.1	8640.0
968803200	968889600	2000-09-13	2000-09-14	256	1	86400.0	0.1	8640.0
968889600	968976000	2000-09-14	2000-09-15	257	1	86400.0	0.1	8640.0
968976000	969062400	2000-09-15	2000-09-16	258	1	86400.0	0.1	8640.0
969062400	969148800	2000-09-16	2000-09-17	259	1	86400.0	0.1	8640.0
969148800	969235200	2000-09-17	2000-09-18	260	1	86400.0	0.1	8640.0
969235200	969321600	2000-09-18	2000-09-19	261	1	86400.0	0.1	8640.0
969321600	969408000	2000-09-19	2000-09-20	262	1	86400.0	0.1	8640.0
969408000	969494400	2000-09-20	2000-09-21	263	1	86400.0	0.1	8640.0
969494400	969580800	2000-09-21	2000-09-22	264	1	86400.0	0.1	8640.0
969580800	969667200	2000-09-22	2000-09-23	265	1	86400.0	0.1	8640.0
969667200	969753600	2000-09-23	2000-09-24	266	1	86400.0	0.1	8640.0
969753600	969840000	2000-09-24	2000-09-25	267	1	86400.0	0.1	8640.0
969840000	969926400	2000-09-25	2000-09-26	268	1	86400.0	0.1	8640.0
969926400	970012800	2000-09-26	2000-09-27	269	1	86400.0	0.1	8640.0
970012800	970099200	2000-09-27	2000-09-28	270	1	86400.0	0.1	8640.0
970099200	970185600	2000-09-28	2000-09-29	271	1	86400.0	0.1	8640.0
970185600	970272000	2000-09-29	2000-09-30	272	1	86400.0	0.1	8640.0
970272000	970358400	2000-09-30	2000-10-01	273	1	86400.0	0.1	8640.0
970358400	970444800	2000-10-01	2000-10-02	274	1	86400.0	0.1	8640.0
970444800	970531200	2000-10-02	2000-10-03	275	1	86400.0	0.1	8640.0
970531200	970617600	2000-10-03	2000-10-04	276	1	86400.0	0.1	8640.0
970617600	970704000	2000-10-04	2000-10-05	277	1	86400.0	0.1	8640.0
970704000	970790400	2000-10-05	2000-10-06	278	1	86400.0	0.1	8640.0
970790400	970876800	2000-10-06	2000-10-07	279	1	86400.0	0.1	8640.0
970876800	970963200	2000-10-07	2000-10-08	280	1	86400.0	0.1	8640.0
970963200	971049600	2000-10-08	2000-10-09	281	1	86400.0	0.1	8640.0
971049600	971136000	2000-10-09	2000-10-10	282	1	86400.0	0.1	8640.0
971136000	971222400	2000-10-10	2000-10-11	283	1	86400.0	0.1	8640.0
971222400	971308800	2000-10-11	2000-10-12	284	1	86400.0	0.1	8640.0
971308800	971395200	2000-10-12	2000-10-13	285	1	86400.0	0.1	8640.0
971395200	971481600	2000-10-13	2000-10-14	286	1	86400.0	0.1	8640.0
971481600	971568000	2000-10-14	2000-10-15	287	1	86400.0	0.1	8640.0
971568000	971654400	2000-10-15	2000-10-16	288	1	86400.0	0.1	8640.0
971654400	971740800	2000-10-16	2000-10-17	289	1	86400.0	0.1	8640.0
971740800	971827200	2000-10-17	2000-10-18	290	1	86400.0	0.1	8640.0
971827200	971913600	2000-10-18	2000-10-19	291	1	86400.0	0.1	8640.0
971913600	972000000	2000-10-19	2000-10-20	292	1	86400.0	0.1	8640.0
972000000	972086400	2000-10-20	2000-10-21	293	1	86400.0	0.1	8640.0
972086400	972172800	2000-10-21	2000-10-22	294	1	86400.0	0.1	8640.0
972172800	972259200	2000-10-22	2000-10-23	295	1	86400.0	0.1	8640.0
972259200	972345600	2000-10-23	2000-10-24	296	1	86400.0	0.1	8640.0
972345600	972432000	2000-10-24	2000-10-25	297	1	86400.0	0.1	8640.0
972432000	972518400	2000-10-25	2000-10-26	298	1	86400.0	0.1	8640.0
972518400	972604800	2000-10-26	2000-10-27	299	1	86400.0	0.1	8640.0
972604800	972691200	2000-10-27	2000-10-28	300	1	86400.0	0.1	8640.0
972691200	972777600	2000-10-28	2000-10-29	301	1	86400.0	0.1	8640.0
972777600	972864000	2000-10-29	2000-10-30	302	1	86400.0	0.1	8640.0
972864000	972950400	2000-10-30	2000-10-31	303	1	86400.0	0.1	8640.0
972950400	973036800	2000-10-31	2000-11-01	304	1	86400.0	0.1	8640.0
973036800	973123200	2000-11-01	2000-11-02	305	1	86400.0	0.1	8640.0
973123200	973209600	2000-11-02	2000-11-03	306	1	86400.0	0.1	8640.0
973209600	973296000	2000-11-03	2000-11-04	307	1	86400.0	0.1	8640.0
973296000	973382400	2000-11-04	2000-11-05	308	1	86400.0	0.1	8640.0
973382400	973468800	2000-11-05	2000-11-06	309	1	86400.0	0.1	8640.0
973468800	973555200	2000-11-06	2000-11-07	310	1	86400.0	0.1	8640.0
973555200	973641600	2000-11-07	2000-11-08	311	1	86400.0	0.1	8640.0
973641600	973728000	2000-11-08	2000-11-09	312	1	86400.0	0.1	8640.0
973728000	973814400	2000-11-09	2000-11-10	313	1	86400.0	0.1	8640.0
973814400	973900800	2000-11-10	2000-11-11	314	1	86400.0	0.1	8640.0
973900800	973987200	2000-11-11	2000-11-12	315	1	86400.0	0.1	8640.0
973987200	974073600	2000-11-12	2000-11-13	316	1	86400.0	0.1	8640.0
974073600	974160000	2000-11-13	2000-11-14	317	1	86400.0	0.1	8640.0
974160000	974246400	2000-11-14	2000-11-15	318	1	86400.0	0.1	8640.0
974246400	974332800	2000-11-15	2000-11-16	319	1	86400.0	0.1	8640.0
974332800	974419200	2000-11-16	2000-11-17	320	1	86400.0	0.1	8640.0
974419200	974505600	2000-11-17	2000-11-18	321	1	86400.0	0.1	8640.0
974505600	974592000	2000-11-18	2000-11-19	322	1	86400.0	0.1	8640.0
974592000	974678400	2000-11-19	2000-11-20	323	1	86400.0	0.1	8640.0
974678400	974764800	2000-11-20	2000-11-21	324	1	86400.0	0.1	8640.0
974764800	974851200	2000-11-21	2000-11-22	325	1	86400.0	0.1	8640.0
974851200	974937600	2000-11-22	2000-11-23	326	1	86400.0	0.1	8640.0
974937600	975024000	2000-11-23	2000-11-24	327	1	86400.0	0.1	8640.0
975024000	975110400	2000-11-24	2000-11-25	328	1	86400.0	0.1	8640.0
975110400	975196800	2000-11-25	2000-11-26	329	1	86400.0	0.1	8640.0
975196800	975283200	2000-11-26	2000-11-27	330	1	86400.0	0.1	8640.0
975283200	975369600	2000-11-27	2000-11-28	331	1	86400.0	0.1	8640.0
975369600	975456000	2000-11-28	2000-11-29	332	1	86400.0	0.1	8640.0
975456000	975542400	2000-11-29	2000-11-30	333	1	86400.0	0.1	8640.0
975542400	975628800	2000-11-30	2000-12-01	334	1	86400.0	0.1	8640.0
975628800	975715200	2000-12-01	2000-12-02	335	1	86400.0	0.1	8640.0
975715200	975801600	2000-12-02	2000-12-03	336	1	86400.0	0.1	8640.0
975801600	975888000	2000-12-03	2000-12-04	337	1	86400.0	0.1	8640.0
975888000	975974400	2000-12-04	2000-12-05	338	1	86400.0	0.1	8640.0
975974400	976060800	2000-12-05	2000-12-06	339	1	86400.0	0.1	8640.0
976060800	976147200	2000-12-06	2000-12-07	340	1	86400.0	0.1	8640.0
976147200	976233600	2000-12-07	2000-12-08	341	1	86400.0	0.1	8640.0
976233600	976320000	2000-12-08	2000-12-09	342	1	86400.0	0.1	8640.0
976320000	976406400	2000-12-09	2000-12-10	343	1	86400.0	0.1	8640.0
976406400	976492800	2000-12-10	2000-12-11	344	1	86400.0	0.1	8640.0
976492800	976579200	2000-12-11	2000-12-12	345	1	86400.0	0.1	8640.0
976579200	976665600	2000-12-12	2000-12-13	346	1	86400.0	0.1	8640.0
976665600	976752000	2000-12-13	2000-12-14	347	1	86400.0	0.1	8640.0
